prompt,summary,action,method,relation,clazz,subject,node,property
Select nodes that has relations with Sacueline Bissse, The classes of the nodes are: Actor Movie Film Director Genre  The list of relationships are: APPEARED_IN DIRECTED_BY BELONGS_TO  The properties of the classes: Movie: label title released actors director box_office Director: label gender(male/female) movie_directed nationality(UK US JP TW) Genre: label  Actor nodes are: Isabelle Huppert Sacueline Bissse Sandrine Bonnaire Bob Steele... Movie nodes are: Brief Encounter Casablanca Before Sunrise Breathless In the Mood for Love... Director nodes are: David Lean Michael Curtiz Richard Linklater Jean-Luc Godard Kar Wai Wong... Genre nodes are: Romance Crime Sci-Fi Horror...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: select, method: by node, relation: '', class: '', subject: '', node: Sacueline Bissse, property: ''
Nodes that are connected to Sandrine Bonnaire, The classes of the nodes are: Actor Movie Film Director Genre  The list of relationships are: APPEARED_IN DIRECTED_BY BELONGS_TO  The properties of the classes: Movie: label title released actors director box_office Director: label gender(male/female) movie_directed nationality(UK US JP TW) Genre: label  Actor nodes are: Isabelle Huppert Sacueline Bissse Sandrine Bonnaire Bob Steele... Movie nodes are: Brief Encounter Casablanca Before Sunrise Breathless In the Mood for Love... Director nodes are: David Lean Michael Curtiz Richard Linklater Jean-Luc Godard Kar Wai Wong... Genre nodes are: Romance Crime Sci-Fi Horror...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by node, relation: '', class: '', subject: '', node: Sandrine Bonnaire, property: ''
Select nodes that are not connected to Sacueline Bissse, The classes of the nodes are: Actor Movie Film Director Genre  The list of relationships are: APPEARED_IN DIRECTED_BY BELONGS_TO  The properties of the classes: Movie: label title released actors director box_office Director: label gender(male/female) movie_directed nationality(UK US JP TW) Genre: label  Actor nodes are: Isabelle Huppert Sacueline Bissse Sandrine Bonnaire Bob Steele... Movie nodes are: Brief Encounter Casablanca Before Sunrise Breathless In the Mood for Love... Director nodes are: David Lean Michael Curtiz Richard Linklater Jean-Luc Godard Kar Wai Wong... Genre nodes are: Romance Crime Sci-Fi Horror...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: select, method: by node, relation: '', class: '', subject: '', node: !Sacueline Bissse, property: ''
Drop the movies with the box office more than 1 million, The classes of the nodes are: Actor Movie Film Director Genre  The list of relationships are: APPEARED_IN DIRECTED_BY BELONGS_TO  The properties of the classes: Movie: label title released actors director box_office Director: label gender(male/female) movie_directed nationality(UK US JP TW) Genre: label  Actor nodes are: Isabelle Huppert Sacueline Bissse Sandrine Bonnaire Bob Steele... Movie nodes are: Brief Encounter Casablanca Before Sunrise Breathless In the Mood for Love... Director nodes are: David Lean Michael Curtiz Richard Linklater Jean-Luc Godard Kar Wai Wong... Genre nodes are: Romance Crime Sci-Fi Horror...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: remove, method: by property, relation: '', class: Movie, subject: '', node: '', property: 'box_office: >1000000'
Select the movie genre that Casablanca belongs to, The classes of the nodes are: Actor Movie Film Director Genre  The list of relationships are: APPEARED_IN DIRECTED_BY BELONGS_TO  The properties of the classes: Movie: label title released actors director box_office Director: label gender(male/female) movie_directed nationality(UK US JP TW) Genre: label  Actor nodes are: Isabelle Huppert Sacueline Bissse Sandrine Bonnaire Bob Steele... Movie nodes are: Brief Encounter Casablanca Before Sunrise Breathless In the Mood for Love... Director nodes are: David Lean Michael Curtiz Richard Linklater Jean-Luc Godard Kar Wai Wong... Genre nodes are: Romance Crime Sci-Fi Horror...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: select, method: by relation, relation: BELONGS_TO, class: Genre, subject: '', node: '', property: ''
Unselect the male directors, The classes of the nodes are: Actor Movie Film Director Genre  The list of relationships are: APPEARED_IN DIRECTED_BY BELONGS_TO  The properties of the classes: Movie: label title released actors director box_office Director: label gender(male/female) movie_directed nationality(UK US JP TW) Genre: label  Actor nodes are: Isabelle Huppert Sacueline Bissse Sandrine Bonnaire Bob Steele... Movie nodes are: Brief Encounter Casablanca Before Sunrise Breathless In the Mood for Love... Director nodes are: David Lean Michael Curtiz Richard Linklater Jean-Luc Godard Kar Wai Wong... Genre nodes are: Romance Crime Sci-Fi Horror...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: unselect, method: by property, relation: '', class: Director, subject: '', node: '', property: 'gender: male'
Drop the selected, The classes of the nodes are: Actor Movie Film Director Genre  The list of relationships are: APPEARED_IN DIRECTED_BY BELONGS_TO  The properties of the classes: Movie: label title released actors director box_office Director: label gender(male/female) movie_directed nationality(UK US JP TW) Genre: label  Actor nodes are: Isabelle Huppert Sacueline Bissse Sandrine Bonnaire Bob Steele... Movie nodes are: Brief Encounter Casablanca Before Sunrise Breathless In the Mood for Love... Director nodes are: David Lean Michael Curtiz Richard Linklater Jean-Luc Godard Kar Wai Wong... Genre nodes are: Romance Crime Sci-Fi Horror...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: remove, method: by selected, relation: '', class: '', subject: '', node: '', property: ''
Movies that start with 'j', The classes of the nodes are: Actor Movie Film Director Genre  The list of relationships are: APPEARED_IN DIRECTED_BY BELONGS_TO  The properties of the classes: Movie: label title released actors director box_office Director: label gender(male/female) movie_directed nationality(UK US JP TW) Genre: label  Actor nodes are: Isabelle Huppert Sacueline Bissse Sandrine Bonnaire Bob Steele... Movie nodes are: Brief Encounter Casablanca Before Sunrise Breathless In the Mood for Love... Director nodes are: David Lean Michael Curtiz Richard Linklater Jean-Luc Godard Kar Wai Wong... Genre nodes are: Romance Crime Sci-Fi Horror...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by node, relation: '', class: '', subject: '', node: 'j*', property: ''
Load all customers, The classes of the nodes are: Country_of_IP_Origin Source_IP DeliveryMerchant Customer_Name OrderNo ProductID Cust_AcctID MerchantID GiftCardID ECOM_Source_IP ECOM_Customer_Name ECOM_OrderNo ECOM_ProductID ECOM_DeliveryMerchant ECOM_Cust_AcctID ECOM_MerchantID ECOM_MerchantName  The relationships between the classes are: (words in upper case are the relationships) Source_IP COMES_FROM Country_of_IP_Origin Source_IP BELONGS_TO Customer_Name MerchantID SELLS_THIS ProductID OrderNo ORDERED_THIS ProductID Cust_AcctID PLACED_ORDER OrderNo OrderNo ORDERED_FROM MerchantID OrderNo DELIVERY_BY DeliveryMerchant Cust_AcctID CUSTOMER_OF MerchantID GiftCardID IS_ASSOCIATED_WITH OrderNo  The properties of each class are: Source_IP: label Country Region City label DeliveryMerchant: label Delivery_Region Contact_Name email Tel Customer_Name: label Customer_Name Account_Recently_Modified OrderNo: label Qty Currency Price TransactionID ProductID: label Price ProductID Product Merchant_Name Cust_AcctID: label Recently_Modified_Acct Customer_Name Cust_AcctID label MerchantID: label Merchant_Name Merchant_Contact GiftCardID: label GiftCardID OrderNo Server Issue_or_Redeem ECOM_Source_IP: label src_port Customer_Name src_ip ECOM_Customer_Name: label Customer_Name Account_Recently_Modified ECOM_OrderNo: label Qty Currency Price TransactionID ECOM_ProductID: label Price ProductID Product Merchant_Name ECOM_DeliveryMerchant: label Delivery_and_Cust_Address_same Delivery_Reference DeliveryMerchant ECOM_Cust_AcctID: label Recently_Modified_Acct Customer_Name Cust_AcctID ECOM_MerchantID: label Merchant_Name ECOM_MerchantName: label MerchantID  The nodes of each class are: Source_IP: 87.194.216.191 195.80.144.22 87.194.216.191 195.80.144.22 87.194.216.191... DeliveryMerchant: DHL Royal Mail Ocado FedEx ... Customer_Name: Alexander Small Jane Madely Alexander Small Jane Madely Alexander Small... OrderNo: 99924 99925 99926 99927 99928... ProductID: S-CONN82 DC-9282 PEXT-292 WBlk21 LM12-73... Cust_AcctID: 045628 01312 012391 00023299 045628... MerchantID: 1000239 1000240 1000238 1000235 1000239... GiftCardID: GC2UX37GDH567 GC2UX37GDH572 GC2UX37GDH588 GC2UX37GDH592 ... ECOM_Source_IP: 87.194.216.191 195.80.144.22 87.194.216.191 195.80.144.22 87.194.216.191... ECOM_Customer_Name: Alexander Small Jane Madely Alexander Small Jane Madely Alexander Small... ECOM_OrderNo: 99924 99925 99926 99927 99928... ECOM_ProductID: S-CONN82 DC-9282 PEXT-292 WBlk21 LM12-73... ECOM_DeliveryMerchant: DHL Royal Mail Ocado FedEx ... ECOM_Cust_AcctID: 045628 01312 012391 00023299 045628... ECOM_MerchantID: 1000239 1000240 1000238 1000235 1000239... ECOM_MerchantName: Biscuit Engineering Bespoke Works Widget Central Wiggles Biscuit Engineering...  The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by class, relation: '', class: Customer_Name, subject: '', node: '', property: ''
Load all product ID, The classes of the nodes are: Country_of_IP_Origin Source_IP DeliveryMerchant Customer_Name OrderNo ProductID Cust_AcctID MerchantID GiftCardID ECOM_Source_IP ECOM_Customer_Name ECOM_OrderNo ECOM_ProductID ECOM_DeliveryMerchant ECOM_Cust_AcctID ECOM_MerchantID ECOM_MerchantName  The relationships between the classes are: (words in upper case are the relationships) Source_IP COMES_FROM Country_of_IP_Origin Source_IP BELONGS_TO Customer_Name MerchantID SELLS_THIS ProductID OrderNo ORDERED_THIS ProductID Cust_AcctID PLACED_ORDER OrderNo OrderNo ORDERED_FROM MerchantID OrderNo DELIVERY_BY DeliveryMerchant Cust_AcctID CUSTOMER_OF MerchantID GiftCardID IS_ASSOCIATED_WITH OrderNo  The properties of each class are: Source_IP: label Country Region City label DeliveryMerchant: label Delivery_Region Contact_Name email Tel Customer_Name: label Customer_Name Account_Recently_Modified OrderNo: label Qty Currency Price TransactionID ProductID: label Price ProductID Product Merchant_Name Cust_AcctID: label Recently_Modified_Acct Customer_Name Cust_AcctID label MerchantID: label Merchant_Name Merchant_Contact GiftCardID: label GiftCardID OrderNo Server Issue_or_Redeem ECOM_Source_IP: label src_port Customer_Name src_ip ECOM_Customer_Name: label Customer_Name Account_Recently_Modified ECOM_OrderNo: label Qty Currency Price TransactionID ECOM_ProductID: label Price ProductID Product Merchant_Name ECOM_DeliveryMerchant: label Delivery_and_Cust_Address_same Delivery_Reference DeliveryMerchant ECOM_Cust_AcctID: label Recently_Modified_Acct Customer_Name Cust_AcctID ECOM_MerchantID: label Merchant_Name ECOM_MerchantName: label MerchantID  The nodes of each class are: Source_IP: 87.194.216.191 195.80.144.22 87.194.216.191 195.80.144.22 87.194.216.191... DeliveryMerchant: DHL Royal Mail Ocado FedEx ... Customer_Name: Alexander Small Jane Madely Alexander Small Jane Madely Alexander Small... OrderNo: 99924 99925 99926 99927 99928... ProductID: S-CONN82 DC-9282 PEXT-292 WBlk21 LM12-73... Cust_AcctID: 045628 01312 012391 00023299 045628... MerchantID: 1000239 1000240 1000238 1000235 1000239... GiftCardID: GC2UX37GDH567 GC2UX37GDH572 GC2UX37GDH588 GC2UX37GDH592 ... ECOM_Source_IP: 87.194.216.191 195.80.144.22 87.194.216.191 195.80.144.22 87.194.216.191... ECOM_Customer_Name: Alexander Small Jane Madely Alexander Small Jane Madely Alexander Small... ECOM_OrderNo: 99924 99925 99926 99927 99928... ECOM_ProductID: S-CONN82 DC-9282 PEXT-292 WBlk21 LM12-73... ECOM_DeliveryMerchant: DHL Royal Mail Ocado FedEx ... ECOM_Cust_AcctID: 045628 01312 012391 00023299 045628... ECOM_MerchantID: 1000239 1000240 1000238 1000235 1000239... ECOM_MerchantName: Biscuit Engineering Bespoke Works Widget Central Wiggles Biscuit Engineering...  The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by class, relation: '', class: ProductID, subject: '', node: '', property: ''
List out gift cards ID, The classes of the nodes are: Country_of_IP_Origin Source_IP DeliveryMerchant Customer_Name OrderNo ProductID Cust_AcctID MerchantID GiftCardID ECOM_Source_IP ECOM_Customer_Name ECOM_OrderNo ECOM_ProductID ECOM_DeliveryMerchant ECOM_Cust_AcctID ECOM_MerchantID ECOM_MerchantName  The relationships between the classes are: (words in upper case are the relationships) Source_IP COMES_FROM Country_of_IP_Origin Source_IP BELONGS_TO Customer_Name MerchantID SELLS_THIS ProductID OrderNo ORDERED_THIS ProductID Cust_AcctID PLACED_ORDER OrderNo OrderNo ORDERED_FROM MerchantID OrderNo DELIVERY_BY DeliveryMerchant Cust_AcctID CUSTOMER_OF MerchantID GiftCardID IS_ASSOCIATED_WITH OrderNo  The properties of each class are: Source_IP: label Country Region City label DeliveryMerchant: label Delivery_Region Contact_Name email Tel Customer_Name: label Customer_Name Account_Recently_Modified OrderNo: label Qty Currency Price TransactionID ProductID: label Price ProductID Product Merchant_Name Cust_AcctID: label Recently_Modified_Acct Customer_Name Cust_AcctID label MerchantID: label Merchant_Name Merchant_Contact GiftCardID: label GiftCardID OrderNo Server Issue_or_Redeem ECOM_Source_IP: label src_port Customer_Name src_ip ECOM_Customer_Name: label Customer_Name Account_Recently_Modified ECOM_OrderNo: label Qty Currency Price TransactionID ECOM_ProductID: label Price ProductID Product Merchant_Name ECOM_DeliveryMerchant: label Delivery_and_Cust_Address_same Delivery_Reference DeliveryMerchant ECOM_Cust_AcctID: label Recently_Modified_Acct Customer_Name Cust_AcctID ECOM_MerchantID: label Merchant_Name ECOM_MerchantName: label MerchantID  The nodes of each class are: Source_IP: 87.194.216.191 195.80.144.22 87.194.216.191 195.80.144.22 87.194.216.191... DeliveryMerchant: DHL Royal Mail Ocado FedEx ... Customer_Name: Alexander Small Jane Madely Alexander Small Jane Madely Alexander Small... OrderNo: 99924 99925 99926 99927 99928... ProductID: S-CONN82 DC-9282 PEXT-292 WBlk21 LM12-73... Cust_AcctID: 045628 01312 012391 00023299 045628... MerchantID: 1000239 1000240 1000238 1000235 1000239... GiftCardID: GC2UX37GDH567 GC2UX37GDH572 GC2UX37GDH588 GC2UX37GDH592 ... ECOM_Source_IP: 87.194.216.191 195.80.144.22 87.194.216.191 195.80.144.22 87.194.216.191... ECOM_Customer_Name: Alexander Small Jane Madely Alexander Small Jane Madely Alexander Small... ECOM_OrderNo: 99924 99925 99926 99927 99928... ECOM_ProductID: S-CONN82 DC-9282 PEXT-292 WBlk21 LM12-73... ECOM_DeliveryMerchant: DHL Royal Mail Ocado FedEx ... ECOM_Cust_AcctID: 045628 01312 012391 00023299 045628... ECOM_MerchantID: 1000239 1000240 1000238 1000235 1000239... ECOM_MerchantName: Biscuit Engineering Bespoke Works Widget Central Wiggles Biscuit Engineering...  The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., AI: action: load, method: by class, relation: '', class: GiftCardID, subject: '', node: '', property: ''
Show me the country from this ip address 87.194.216.191, The classes of the nodes are: Country_of_IP_Origin Source_IP DeliveryMerchant Customer_Name OrderNo ProductID Cust_AcctID MerchantID GiftCardID ECOM_Source_IP ECOM_Customer_Name ECOM_OrderNo ECOM_ProductID ECOM_DeliveryMerchant ECOM_Cust_AcctID ECOM_MerchantID ECOM_MerchantName  The relationships between the classes are: (words in upper case are the relationships) Source_IP COMES_FROM Country_of_IP_Origin Source_IP BELONGS_TO Customer_Name MerchantID SELLS_THIS ProductID OrderNo ORDERED_THIS ProductID Cust_AcctID PLACED_ORDER OrderNo OrderNo ORDERED_FROM MerchantID OrderNo DELIVERY_BY DeliveryMerchant Cust_AcctID CUSTOMER_OF MerchantID GiftCardID IS_ASSOCIATED_WITH OrderNo  The properties of each class are: Source_IP: label Country Region City label DeliveryMerchant: label Delivery_Region Contact_Name email Tel Customer_Name: label Customer_Name Account_Recently_Modified OrderNo: label Qty Currency Price TransactionID ProductID: label Price ProductID Product Merchant_Name Cust_AcctID: label Recently_Modified_Acct Customer_Name Cust_AcctID label MerchantID: label Merchant_Name Merchant_Contact GiftCardID: label GiftCardID OrderNo Server Issue_or_Redeem ECOM_Source_IP: label src_port Customer_Name src_ip ECOM_Customer_Name: label Customer_Name Account_Recently_Modified ECOM_OrderNo: label Qty Currency Price TransactionID ECOM_ProductID: label Price ProductID Product Merchant_Name ECOM_DeliveryMerchant: label Delivery_and_Cust_Address_same Delivery_Reference DeliveryMerchant ECOM_Cust_AcctID: label Recently_Modified_Acct Customer_Name Cust_AcctID ECOM_MerchantID: label Merchant_Name ECOM_MerchantName: label MerchantID  The nodes of each class are: Source_IP: 87.194.216.191 195.80.144.22 87.194.216.191 195.80.144.22 87.194.216.191... DeliveryMerchant: DHL Royal Mail Ocado FedEx ... Customer_Name: Alexander Small Jane Madely Alexander Small Jane Madely Alexander Small... OrderNo: 99924 99925 99926 99927 99928... ProductID: S-CONN82 DC-9282 PEXT-292 WBlk21 LM12-73... Cust_AcctID: 045628 01312 012391 00023299 045628... MerchantID: 1000239 1000240 1000238 1000235 1000239... GiftCardID: GC2UX37GDH567 GC2UX37GDH572 GC2UX37GDH588 GC2UX37GDH592 ... ECOM_Source_IP: 87.194.216.191 195.80.144.22 87.194.216.191 195.80.144.22 87.194.216.191... ECOM_Customer_Name: Alexander Small Jane Madely Alexander Small Jane Madely Alexander Small... ECOM_OrderNo: 99924 99925 99926 99927 99928... ECOM_ProductID: S-CONN82 DC-9282 PEXT-292 WBlk21 LM12-73... ECOM_DeliveryMerchant: DHL Royal Mail Ocado FedEx ... ECOM_Cust_AcctID: 045628 01312 012391 00023299 045628... ECOM_MerchantID: 1000239 1000240 1000238 1000235 1000239... ECOM_MerchantName: Biscuit Engineering Bespoke Works Widget Central Wiggles Biscuit Engineering...  The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by relation, relation: COMES_FROM, class: '', subject: 87.194.216.191, node: '', property: ''
